ppip,ppyg,pkuh,hsav,id
43,0,6,0,59
9,0,1,3,60
23,0,7,2,71
125,0,10,6,72
57,0,9,25,73
9,0,2,2,74
0,0,1,0,80
52,0,7,5,81
94,0,12,5,82
85,2,21,13,83
52,0,10,4,84
146,0,7,14,85
154,1,16,21,86
13,0,2,4,87
93,0,12,1,93
65,16,6,2,94
149,49,57,3,95
59,25,34,1,96
62,10,27,9,97
21,0,0,4,98
18,1,6,9,99
1,0,2,0,100
1,0,0,0,101
35,0,0,1,105
789,0,30,61,106
45,0,7,2,107
3,0,0,0,108
6,0,0,0,109
37,5,24,3,110
16,0,12,7,111
0,0,0,0,112
8,0,1,0,114
77,0,2,1,119
53,0,1,1,120
69,0,6,3,121
43,0,14,1,122
35,0,12,2,123
3,0,9,0,124
1,0,1,2,126
53,0,45,11,127
20,0,37,8,128
105,0,12,2,134
83,0,28,2,135
4,0,1,0,136
11,0,13,1,137
45,0,37,2,138
5,0,11,0,139
5,0,21,4,140
90,0,83,2,152
66,0,72,12,153
0,0,4,0,154
38,0,70,3,166
52,0,73,5,167
7,0,19,1,180
